"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Friday, April 01, 2016",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
"",,,,,"Possession of Marijuana, Possession of Drug",,
"",,,,,"Paraphernalia, DUI-Super Extreme w/BAC of .20 or",,
"",,,,,"Higher, DUI-Extreme w/BAC of .15 or more but less",,
16-26111T,4/1,0203 hrs,4/1,0203 hrs,"4/1 0203 hrs than .20, DUI w/BAC of .08 or Higher, DUI-Alcohol,",S Rural Rd/E Lemon St,Cleared by Arrest
"",,,,,"Drug, Vapor, Combination Thereof, Under 21 Years of",,
"",,,,,Age to Drive/Be in physical control of Vehicle,,
"",,,,,"w/Liquor in Body, Minor with Alcohol in Body",,
"",,,,,,,Cleared by
16-26217T,4/1,1150 hrs,4/1,1150 hrs,4/1 1150 hrs Robbery,Social Sciences,
"",,,,,,,Exceptional Means
16-26228T,4/1,1208 hrs,4/1,1208 hrs,"4/1 1208 hrs Trafficking in Stolen Property-1st Degree, Shoplifting",ASU Bookstore,Pending
"",,,,,,College Avenue,
16-26229T,4/1,1217 hrs,4/1,1217 hrs,4/1 1217 hrs Shoplifting,,Cleared by Arrest
"",,,,,,Commons,
16-26242T,4/1,1253 hrs,4/1,1100 hrs,4/1 1200 hrs Theft,Hayden Library,Pending
"",,,,,"Criminal Trespass-1st Degree, Residential Structure,",University Towers,
16-26248T,4/1,1338 hrs,4/1,1338 hrs,4/1 1338 hrs,,Pending
"",,,,,"Criminal Trespass-1st Degree, Fenced residential yard",Apartments,
"",,,,,,4500 Block W,
16-26311W,4/1,1955 hrs,4/1,1955 hrs,4/1 2056 hrs Driving while suspended,,Cleared by Arrest
"",,,,,,University Way N,
"",,,,,"Possession of Marijuana, Possession of Drug",,
16-26331T,4/1,2155 hrs,4/1,2155 hrs,"4/1 2346 hrs Paraphernalia, Unlawful to Sell/Furnish/dispose of/give",Hassayampa Phase 1,Pending
"",,,,,Liquor to an Under Aged Person,,
"",,,,,,S Rural Rd/E Vista Del,
16-26358T,4/1,2322 hrs,4/1,2322 hrs,4/1 2322 hrs Unlawful to Consume Alcohol in Public,,Cleared by Arrest
"",,,,,,Cerro Dr,
16-80000115T,4/1,1700 hrs,4/1,1010 hrs,4/1,1015 hrs,Theft,Walmart,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description Location,,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
16-26383T,4/2,0000 hrs,4/2,0000 hrs,4/2,0000 hrs,"Criminal Damage, Criminal Nuisance Hassayampa Phase 2",,
16-26389T,4/2,0039 hrs,4/2,0030 hrs,4/2,0030 hrs,Criminal Damage Towers,,
"",,,,,,,Fulton Parking,,
16-26398T,4/2,0059 hrs,4/2,0100 hrs,4/2,0126 hrs,Criminal Damage,,
"",,,,,,,Structure,,
"",,,,,,,"Under 21 with Alcohol in the Body, Under 21 Years of Fulton Parking",,
16-26405T,4/2,0157 hrs,4/2,0157 hrs,4/2,0445 hrs,,,
"",,,,,,,age to Drive Structure,,
16-26412T,4/2,0201 hrs,4/2,0145 hrs,4/2,0353 hrs,Criminal Damage Hassayampa F,,
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
16-26414T,4/2,0244 hrs,4/2,0244 hrs,4/2,0244 hrs,"Paraphernalia, DUI, DUI w/ BAC of .08 or Higher, DUI-Coor Building",,
"",,,,,,,Extreme w/BAC of .15 or Higher,,
16-26418T,4/2,0333 hrs,4/2,0244 hrs,4/2,0244 hrs,"DUI, DUI w/BAC of .08 or Higher Coor Building",,
16-26443T,4/2,0535 hrs,4/2,0550 hrs,4/2,0550 hrs,Theft of Services Vista Del Sol,,
"",,,,,,,"Vehicle Burglary, Possession of Dangerous Drugs,",,
"",,,,,,,E  University DR/ S,,
16-26464T,4/2,0712 hrs,4/2,0700 hrs,4/2,0712 hrs,"Possession of Marijuana, Possession of Drug",,
"",,,,,,,Forest Ave,,
"",,,,,,,Paraphernalia,,
16-26519T,4/2,1050 hrs,4/2,1055 hrs,4/2,1055 hrs,Criminal Trespass Memorial Union,,
16-26588T,4/2,1604 hrs,4/2,1600 hrs,4/2,1600 hrs,Possess or display Fictitious Plate Parking Lot 40,,
16-26606T,4/2,1903 hrs,4/2,1903 hrs,4/2,2008 hrs,Criminal Damage Parking Lot 72,,
"",,,,,,,,S Mill Ave/W Concorda
16-26642T,4/2,2154 hrs,4/2,2154 hrs,4/2,2226 hrs,Operate a Vehicle Certified as Non-Operational,
"",,,,,,,,Dr
"",,,,,,,,900 Block of S Cady
16-80000117T,4/2,1528 hrs,3/16,1520 hrs,4/2,1520 hrs,Bike Theft,
