"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Wednesday, August 01, 2012",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
12-13377P,8/1,0248 hrs,8/1,0248 hrs,8/1 2114 hrs Minor in Consumption of Alcohol,Parking Lot 54,Cleared by Arrest
12-13415T,8/1,2327 hrs,8/1,2327 hrs,8/1 2327 hrs 3rd Degree Trespass,Parking Structure 4,Cleared by Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-13441T,8/2,1428 hrs,8/2,0600 hrs,8/2,1330 hrs,Theft,Memorial Union,Pending
"",,,,,,,,S. Terrace Rd. / E.,
12-13457T,8/2,2129 hrs,8/2,2129 hrs,8/2,2246 hrs,Driving on a Suspended License,,Cleared by Arrest
"",,,,,,,,Apache Blvd.,
"",,,,,,,"DUI-Alcohol, Underage Drinking and Driving, Minor",,
"",,,,,,,,S. Terrace Rd. / E.,
12-13463T,8/2,2249 hrs,8/2,2249 hrs,8/2,2249 hrs,"in Consumption of Alcohol, Minor in Possession of",,Cleared by Arrest
"",,,,,,,,Apache Blvd.,
"",,,,,,,Alcohol,,
12-13464T,8/2,2257 hrs,8/2,2257 hrs,8/2,2316 hrs,Minor in Consumption of Alcohol,Parking Lot 35,Cleared by Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,No Activity,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Under 21 in Possession of Alcohol, Under 21 with",,
12-13534T,8/4,0125 hrs,8/4,0125 hrs,8/4,0147 hrs,,Villas at Vista del Sol,Cleared by Arrest
"",,,,,,,Alcohol in Body,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
