"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Wednesday, February 01, 2017",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
17-80000032T,2/1,1152 hrs,2/1,1115 hrs,2/1 1125 hrs Theft,Manzanita Hall,Pending
17-80000033T,2/1,1447 hrs,2/1,1040 hrs,2/1 1320 hrs Bike Theft,Design South Building,Pending
17-9590T,2/1,0556 hrs,2/1,0600 hrs,2/1 0600 hrs Theft,Memorial Union,Pending
"",,,,,,University Services,
17-9710T,2/1,1336 hrs,1/27,1600 hrs,1/31 1300 hrs Burglary,,Pending
"",,,,,,Building,
"",,,,,,1100 Block of S Rural,
17-80000034T,2/1,2306 hrs,2/1,1615 hrs,2/1 2255 hrs Bike Theft,,Pending
"",,,,,,Rd,
"",,,,,Occurred,,,
"",Date,Time,,,,,,
Incident #,,,,From,Thru,,Description,Location Disposition
"",Reported,Reported,,,,,,
"",,,Date,Time,Date,Time,,
17-80000039T,2/2,2254 hrs,2/2,2230 hrs,2/2,2230 hrs,Bike Theft,Memorial Union Pending
17-80000035T,2/2,1737 hrs,2/2,1330 hrs,2/2,1420 hrs,Bike Theft,Physical Sciences H Pending
17-80000036T,2/2,2156 hrs,2/1,1700 hrs,2/1,1945 hrs,Bike Theft,Business Administration Pending
"",,,,,,,,Sun Devil Fitness
17-10000T,2/2,1503 hrs,2/2,1430 hrs,2/2,1500 hrs,Theft,Pending
"",,,,,,,,Complex
17-10018T,2/2,1620 hrs,2/2,1245 hrs,2/2,1245 hrs,Indecent Exposure,Parking Structure 2 Pending
17-10020T,2/2,1633 hrs,2/2,0645 hrs,2/2,1230 hrs,Criminal Damage,Parking Structure 1 Pending
17-10049T,2/2,1857 hrs,2/2,1745 hrs,2/2,1830 hrs,Theft,Business Administration Pending
"",,,,,,,,S Perry Ln/ E Rio
17-10061T,2/2,1941 hrs,2/2,1941 hrs,2/2,2045 hrs,Possession of Drug Paraphernalia,Cleared By Arrest
"",,,,,,,,Salado Pky
17-10068T,2/2,1956 hrs,2/2,1930 hrs,2/2,1945 hrs,Theft  of Services,Domino's Pending
"",,,,,,,,E Apache Blvd/ S Paseo
17-10077T,2/2,2031 hrs,2/2,2031 hrs,2/2,2058 hrs,Unlawful to Sell Liquor to an Under Aged Person,Cleared By Arrest
"",,,,,,,,Del Saber
"",,,,,,,,E Apache Blvd/ S
17-10088T,2/2,2106 hrs,2/2,2106 hrs,2/2,2106 hrs,Unlawful to Sell Liquor to an Under Aged Person,Cleared By Arrest
"",,,,,,,,Normal Ave
17-10098T,2/2,2135 hrs,2/2,2135 hrs,2/2,2223 hrs,Reckless Driving,Parking Lot 59 Cleared By Arrest
17-80000039T,2/2,2254 hrs,2/2,2230 hrs,2/2,2230 hrs,Bike Theft,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-10168T,2/3,0205 hrs,2/3,0205 hrs,2/3,0325 hrs,Possession of Stolen Property,Biodesign A,Pending
17-10202T,2/3,0436 hrs,2/3,0436 hrs,2/3,0645 hrs,"Assault, Disorderly Conduct, Possession of Marijuana",Vista Del Sol Wing-C,Pending
"",,,,,,,"Possession of Marijuana, Possession of Drug",1300 Block E Spence,
17-10274T,2/3,1218 hrs,2/3,1218 hrs,2/3,1218 hrs,,,Cleared by Arrest
"",,,,,,,Paraphernalia,Ave,
"",,,,,,,,Sun Devil Fitness,
17-10332T,2/3,1732 hrs,2/2,1600 hrs,2/2,1630 hrs,Theft,,Pending
"",,,,,,,,Center,
17-10351T,2/3,1953 hrs,2/3,1953 hrs,2/3,2016 hrs,Possession of Cancelled/Fictitious Driver's License,S Rural Rd/E Lemon St,Cleared by Arrest
"",,,,,,,Convicted Sex Offender-Failure to Notify Sheriff of,,
"",,,,,,,"Change of Address, Convicted Sex Offender-Failure to",,
17-10400T,2/3,2147 hrs,2/3,2147 hrs,2/3,0233 hrs,"Obtain State ID, Possession of Dangerous Drugs,",Computing Commons,Pending
"",,,,,,,"Possesssion of Marijuana, Possession of Drug",,
"",,,,,,,Paraphernalia,,
"",,,,,,,,Schwada Classroom,
17-80000040T,2/3,0645 hrs,2/1,1920 hrs,2/1,1920 hrs,Bike Theft,,Pending
"",,,,,,,,Office Building,
"",,,,,,,,Business Administration,
17-80000041T,2/3,1725 hrs,2/2,0705 hrs,2/2,1315 hrs,Bike Theft,,Pending
"",,,,,,,,C-Wing,
17-80000042T,2/3,1343 hrs,2/3,0925 hrs,2/3,1100 hrs,Bike Theft,Hayden Library,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-10457T,2/4,0045 hrs,2/4,0045 hrs,2/4,0130 hrs,Possession of Drug Paraphernalia,Sonora,Pending
17-10462T,2/4,0106 hrs,2/4,0106 hrs,2/4,0106 hrs,Possession of Marijuana,Sonora,Cleared by Arrest
17-10489T,2/4,0231 hrs,2/4,0231 hrs,2/4,0231 hrs,"Minor with Alcohol in Body, Public Nuisance",Dominos,Cleared by Arrest
17-10519T,2/4,0515 hrs,2/4,0515 hrs,2/4,0515 hrs,Minor with Alcohol in Body,Parking Structure5,Cleared by Arrest
17-10532T,2/4,0647 hrs,2/3,2300 hrs,2/4,0647 hrs,Minor with Alcohol in Body,Towers,Cleared by Arrest
"",,,,,,,,Vista Del Sol Parking,
17-10648T,2/4,1503 hrs,2/2,2100 hrs,2/4,1330 hrs,Criminal Trespass,,Pending
"",,,,,,,,Structure,
