"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Saturday, July 1st, 2017",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
"",,,,,,S Terrace rd./ E,
17-51377T,7/1,0016 hrs,7/1,0016 hrs,"7/1 0203 hrs DUI, Dui w/BAC of .08 or higher",,Cleared By Arrest
"",,,,,,Broadway Rd,
"",,,,,,University Center,
17-51424T,7/1,0410 hrs,6/24,2030 hrs,7/1 0240 hrs Criminal Damage,,Pending
"",,,,,,Parking,
"",,,,,,E University Dr/ S,Cleared by
17-51404T,7/1,0218 hrs,7/1,0218 hrs,"7/1 0218 hrs DUI, Dui w/BAC of .08 or higher",,
"",,,,,,Rural Rd,Exceptional Means
"",,,,,,S Rural Rd? E,
17-51415T,7/1,0242 hrs,7/1,0242 hrs,7/1 0449 hrs DUI,,Cleared By Arrest
"",,,,,,University Dr,
"",,,,,,S Power Rd/ E Williams,
17-51572T,7/1,1847 hrs,7/1,1847 hrs,7/1 1914 hrs Speed,,Cleared By Arrest
"",,,,,,Field Rd,
"",,,,,,E Broadway Rd/ S,
17-51580T,7/1,1932 hrs,7/1,1932 hrs,7/1 2014 hrs Driving with a Suspended License,,Cleared By Arrest
"",,,,,,Rural Rd,
"",,,,,,S Rural Rd/ E Vista Del,
17-51595T,7/1,2052 hrs,7/1,2052 hrs,7/1 2154 hrs Driving with a Suspended License,,Cleared By Arrest
"",,,,,,Cerro Dr,
"",,,,,,S Terrace rd/ E,
17-51634P,7/1,2301 hrs,7/1,2301 hrs,7/1 2320 hrs Speed,,Cleared By Arrest
"",,,,,,Broadway Rd,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,"Possession of Drug Paraphernalia, Driving with a",S Mill Ave / E,
17-51648T,7/2,0007 hrs,7/2,0007 hrs,7/2,0007 hrs,,,Pending
"",,,,,,,Suspended License,Univeristy Dr,
"",,,,,,,,S Mill Ave / E,
17-51661T,7/2,0120 hrs,7/2,0120 hrs,7/2,0120 hrs,DUI,,Cleared By Arrest
"",,,,,,,,University Dr,
17-51672T,7/2,0212 hrs,7/2,0212 hrs,7/2,0212 hrs,Criminal Trespass,E 5th St/ S Rural Rd,Cleared By Arrest
"",,,,,,,,E University Dr/ S,
17-51673T,7/2,0213 hrs,7/2,0213 hrs,7/2,0213 hrs,DUI,,Cleared By Arrest
"",,,,,,,,Rural Rd,
17-51677T,7/2,0238 hrs,7/2,2330 hrs,7/2,0210 hrs,Vehicle Burglary,Parking Lot 20,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-51892T,7/3,0034 hrs,7/3,0156 hrs,7/3,0156 hrs,"DUI-Aggravated, While Suspended for DUI",S Power Rd/ E Ray Rd,Pending
"",,,,,,,"DUI w/BAC of .08 or Higher, DUI-Extreme w/ BAC of",S McClintock Dr/ E,
17-51909T,7/3,0207 hrs,7/3,0156 hrs,7/3,0156 hrs,,,Cleared By Arrest
"",,,,,,,".15 or Higher,",Apache Blvd,
