"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Friday, June 01, 2018",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
"",,,,,"Possession Narcotic Drugs, Possession of Drug","S College Ave, E",
18-40179T,6/1,0103 hrs,6/1,0103 hrs,6/1 0600 hrs,,Pending
"",,,,,Parahernalia,Apache Blvd,
18-40237T,6/1,0945 hrs,5/31,2100 hrs,6/1 0800 hrs Bike Theft,Hassayampa,Pending
18-40261T,6/1,1237 hrs,6/1,1240 hrs,6/1 1249 hrs Criminal Trepass,Parking Structure 1,Cleared By Arrest
"",,,,,,Business,
18-40278T,6/1,1351 hrs,5/31,1630 hrs,6/1 0730 hrs Burglary,,Pending
"",,,,,,Administration,
18-40294D,6/1,1531 hrs,6/1,0730 hrs,6/1 1240 hrs Vehicle Burglary,University Center,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
18-40472T,6/2,1210 hrs,6/2,1210 hrs,6/2,1619 hrs Accident,,Fulton Structure,Pending
18-40511D,6/2,1756 hrs,6/2,1750 hrs,6/2,1800 hrs Theft,,Taylor Place,Pending
"",,,,,,"Excessive Speed in Residential, Fail to Change",,,
18-40514T,6/2,1858 hrs,6/2,1858 hrs,6/2,1858 hrs,,WB US 60/S Mill Ave,Cleared By Arrest
"",,,,,,Name,,,
"",,,,,,"Possession of Marijuana, Possession Drug",,N 49th Ave/ W,
18-40571T,6/2,2317 hrs,6/2,2317 hrs,6/2,2317 hrs,,,Pending
"",,,,,,Paraphernalia,,Thunderbird Rd,
"",,,,,,"Tampering With Physical Evidence, Possession of",,E Apache Blvd/ S,
18-40577T,6/2,2339 hrs,6/2,2339 hrs,6/2,2339 hrs,,,Pending
"",,,,,,"Marijuana, DUI, DUI w/Drugs or Metabolite",,McClintock Dr,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,Description,,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
"",,,,,,,,E Apache Blvd/ S,
