"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Tuesday, March 01, 2016",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
16-16815T,3/1,0401 hrs,2/27,2200 hrs,2/28 2200 hrs Burglary,Athletes Performance,Pending
"",,,,,,University Services,
16-16939T,3/1,1340 hrs,2/26,1700 hrs,2/26 1700 hrs Theft,,Pending
"",,,,,,Building,
16-16942T,3/1,1344 hrs,2/25,1005 hrs,2/25 1655 hrs Theft,Palo Verde West,Pending
"",,,,,,S McAllister Ave / E,
16-16943T,3/1,1347 hrs,3/1,1345 hrs,3/1 1410 hrs Driving with a Suspended License,,Cleared by Arrest
"",,,,,,University Dr,
"",,,,,"Possession of Marijuana, Possession of Drug",,
16-17065T,3/1,2356 hrs,3/1,2356 hrs,3/1 2356 hrs,Central Plant South,Pending
"",,,,,Paraphernalia,,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
16-17368T,3/2,2351 hrs,3/2,2351 hrs,3/2,2351 hrs,Trespassing,Arboretum,Cleared by Arrest
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
16-17559P,3/3,1632 hrs,3/2,1200 hrs,3/2,1300 hrs,Criminal Damage,6000 Blk S Sagewood,Pending
"",,,,,,,"DUI w/ BAC .08 or Higher, DUI - Alcohol, Drug,",,
16-17665D,3/3,2322 hrs,3/3,2322 hrs,3/3,2322 hrs,,S 1st St / E Jefferson St,Cleared by Arrest
"",,,,,,,"Vapor, Combo",,
16-80000084T,3/1,1051 hrs,3/1,1000 hrs,3/1,1630 hrs,Bicycle Theft,Goldwater,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
16-17740T,3/4,0723 hrs,3/4,0723 hrs,3/4,0723 hrs,Criminal Trespass,Armstrong Hall,Cleared by Arrest
