"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Monday, May 01, 2017",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
17-35616,5/1,0044 hrs,4/30,2120 hrs,4/30 2140 hrs Assault,Hassayampa,Pending
17-35621T,5/1,0132 hrs,4/30,2330 hrs,5/1 0100 hrs Vehicle Burglary,Parking Lot 20,Pending
17-35628T,5/1,0320 hrs,4/30,2000 hrs,"5/1 0320 hrs Vehicle Burglary, Criminal Damage",Parking Lot 20,Pending
"",,,,,,Downtown Parking Lot,
17-35652D,5/1,0745 hrs,4/29,2300 hrs,4/30 0800 hrs Theft of Means of Transportation,,Pending
"",,,,,,2,
17-35673D,5/1,0856 hrs,4/13,1100 hrs,4/13 1145 hrs Theft,University Center,Pending
"",,,,,,Urban Systems,
17-35695T,5/1,1026 hrs,5/1,1026 hrs,5/1 1312 hrs Accident,,Pending
"",,,,,,Engineering,
17-35722T,5/1,1215 hrs,4/28,1800 hrs,5/1 1215 hrs Criminal Damage,Tower Center B,Pending
17-35777P,5/1,1605 hrs,4/27,1630 hrs,4/28 1000 hrs Bike Theft,Santan Hall,Pending
17-35858T,5/1,2133 hrs,5/1,2202 hrs,5/1 2202 hrs Assault,Villa Vista Del Sol,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-36016T,5/2,1356 hrs,4/30,1800 hrs,5/1,1500 hrs,Vehicle Burglary,Parking Lot 59,Pending
"",,,,,,,"Theft, Theft of a Credit Card or Obtaining Credit Card",Sun Devil Fitness,
17-36083T,5/2,2034 hrs,5/2,2000 hrs,5/2,2057 hrs,,,Pending
"",,,,,,,by Fraud Fraudulent use of a credit Card,Complex,
"",,,,,,,"Theft, Theft of a Credit Card or Obtaining Credit Card",Sun Devil Fitness,
17-36093T,5/2,2117 hrs,5/2,2015 hrs,5/2,2051 hrs,,,Pending
"",,,,,,,"by Fraud, Fraudulent use of a credit Card",Complex,
"",,,,,,,,Sun Devil Fitness,
17-80000127P,5/2,1527 hrs,5/2,1100 hrs,5/2,1305 hrs,Theft,,Pending
"",,,,,,,,Complex,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
17-36370D,5/3,1833 hrs,5/3,1551 hrs,5/3,1557 hrs,Assault,Taylor Place,Pending
