"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Tuesday, October 01, 2013",,
"",,,,,Occurred,,
"",Date,Time,,,,,
Incident #,,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date,Time,Date Time,,
"",,,,,,Business Administration,
13-70649T,10/1,0235 hrs,10/1,0235 hrs,10/1 0325 hrs Criminal Trespass,,Cleared by Arrest
"",,,,,,C,
13-70702W,10/1,0857 hrs,9/20,0400 hrs,9/20 1100 hrs Sexual Assault,Casa de Oro,Pending
13-70756T,10/1,1213 hrs,10/1,1155 hrs,10/1 1205 hrs Theft,Noble Library,Pending
13-70776D,10/1,1351 hrs,10/1,1351 hrs,"10/1 1351 hrs Theft, Criminal Damage",Taylor Place,Pending
13-70783D,10/1,1417 hrs,9/26,2230 hrs,10/1 1300 hrs Bike Theft,Ucent,Pending
13-70788D,10/1,1454 hrs,10/1,0655 hrs,10/1 1456 hrs Theft,Lot Ucent 2,Pending
13-70797T,10/1,1526 hrs,9/23,1252 hrs,10/1 1411 hrs Shoplifting,Bookstore,Pending
13-70798T,10/1,1529 hrs,10/1,1510 hrs,10/1 1529 hrs Theft,Memorial Union,Pending
13-70799P,10/1,1528 hrs,10/1,0000 hrs,10/1 1230 hrs Vehicle Burglary,7000 Block E Thistle,Pending
13-70811T,10/1,1626 hrs,10/1,0620 hrs,10/1 1610 hrs Theft of Vehicle,Memorial Union,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
13-70935T,10/2,0050 hrs,10/1,2145 hrs,10/1,0030 hrs,Bike Theft,Hassayampa Phase 1,Pending
"",,,,,,,"Driving on Suspended License, Display M/I Suspended",S College Ave / E,
13-70937T,10/2,0113 hrs,10/2,0113 hrs,10/2,0125 hrs,,,Cleared by Arrest
"",,,,,,,Plates,Broadway Rd,
13-70946T,10/2,0221 hrs,10/2,0221 hrs,10/2,0225 hrs,Minor with Alcohol in Body,Lot 45,Cleared by Arrest
"",,,,,,,,S Rural Rd / E Terrace,
13-71040T,10/2,1331 hrs,10/2,0100 hrs,10/2,0100 hrs,Disorderly Conduct,,Cleared by Arrest
"",,,,,,,,Rd,
13-71052T,10/2,1421 hrs,9/11,0000 hrs,10/2,1421 hrs,Bike Theft,Hassayampa Phase 2,Pending
13-71063T,10/2,1448 hrs,10/2,1448 hrs,10/2,1448 hrs,Theft of Vehicle,Palo Verde West,Pending
"",,,,,,,,4700 Block W,
13-71071W,10/2,1703 hrs,10/2,1703 hrs,10/2,1721 hrs,Forgery/Fraud,,Cleared by Arrest
"",,,,,,,,University Way N,
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description Location,,Disposition
"",Reported,Reported,,,,,,,
